Timestamp [ms],Force Sensor (RL) [V],Force Sensor (LL) [V],EMG (RL) [V],EMG (LL) [V]
1799,1.4711632453567938,1.4760508308895406,1.4760508308895406,1.4760508308895406
1828,1.4711632453567938,1.4760508308895406,1.4760508308895406,1.4760508308895406
1860,1.4565004887585533,1.4565004887585533,1.4613880742913001,1.4613880742913001
1897,1.4760508308895406,1.4809384164222874,1.4809384164222874,1.4809384164222874
1925,1.4613880742913001,1.466275659824047,1.466275659824047,1.466275659824047
1957,1.4613880742913001,1.466275659824047,1.466275659824047,1.466275659824047
1989,1.4565004887585533,1.4613880742913001,1.4565004887585533,1.4565004887585533
2020,1.4565004887585533,1.4565004887585533,1.4565004887585533,1.4565004887585533
2054,1.4565004887585533,1.4613880742913001,1.4565004887585533,1.4565004887585533
2087,1.4565004887585533,1.4613880742913001,1.4565004887585533,1.4565004887585533
2117,1.4613880742913001,1.466275659824047,1.466275659824047,1.466275659824047
2147,1.4613880742913001,1.466275659824047,1.466275659824047,1.4711632453567938
2176,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
2207,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
2238,1.4467253176930597,1.4467253176930597,1.4418377321603129,1.4418377321603129
2272,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
2304,1.4516129032258065,1.4565004887585533,1.4516129032258065,1.4516129032258065
2334,1.4516129032258065,1.4613880742913001,1.4613880742913001,1.4565004887585533
2365,1.4565004887585533,1.4613880742913001,1.4613880742913001,1.4613880742913001
2394,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
2423,1.436950146627566,1.4418377321603129,1.4418377321603129,1.436950146627566
2454,1.436950146627566,1.4418377321603129,1.4418377321603129,1.4418377321603129
2485,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
2516,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4613880742913001
2546,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
2576,1.4418377321603129,1.4467253176930597,1.4467253176930597,1.4467253176930597
2608,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4516129032258065
2641,1.4467253176930597,1.4467253176930597,1.4467253176930597,1.4467253176930597
2670,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
