v1,v2,v3
28,99,54
28,91,56
29,99,56
28,97,55
28,99,56
26,100,54
27,94,56
27,99,52
27,94,55
28,92,54
28,91,54
27,92,55
27,93,53
26,96,54
26,94,54
27,92,53
26,91,52
27,101,52
28,97,53
29,89,52
27,94,55
28,91,53
27,92,54
28,91,52
29,92,52
28,94,50
28,93,52
29,97,51
27,97,51
26,98,52
27,101,50
27,91,51
26,100,51
26,98,51
28,98,52
27,98,52
29,98,53
27,103,51
26,98,49
27,107,51
26,108,49
28,111,50
28,115,52
28,110,49
28,111,51
28,107,50
27,108,50
27,119,50
27,121,51
27,129,49
28,127,49
27,122,51
28,124,44
27,120,50
29,131,49
27,131,50
27,129,50
28,132,51
26,128,49
29,129,49
27,129,50
27,128,49
27,135,48
28,130,49
26,140,49
27,138,48
28,142,51
28,144,48
29,119,58
28,120,58
27,111,59
28,122,58
29,123,58
28,112,58
28,119,59
29,113,59
28,116,60
28,113,60
25,109,58
28,109,58
28,104,59
28,103,58
28,105,59
29,98,58
28,100,56
27,98,59
26,96,58
29,99,57
28,94,58
26,99,56
29,92,56
26,91,57
29,89,57
28,88,56
28,89,54
28,86,56
27,95,55
27,94,53
28,90,55
28,99,54
25,94,54
26,94,55
27,91,55
27,90,53
27,92,52
29,88,53
28,85,54
27,94,54
26,88,55
27,89,54
26,88,52
28,87,54
28,89,53
27,82,53
27,89,52
27,92,52
27,87,51
28,89,52
27,87,53
28,89,53
28,83,52
28,91,51
27,89,52
29,81,52
27,84,50
27,83,52
28,90,52
26,90,50
28,95,52
28,95,51
28,97,51
27,104,50
28,101,52
28,99,50
26,101,50
29,104,52
26,112,51
26,107,51
27,107,49
27,111,50
28,107,49
27,111,49
27,113,50
27,113,50
27,118,50
27,113,50
27,118,49
28,118,50
27,112,50
26,121,49
29,122,51
28,125,49
26,122,50
28,116,48
27,121,50
27,116,49
27,124,51
28,118,50
30,131,58
26,133,57
29,128,56
27,127,56
28,129,57
28,125,57
29,122,55
28,123,55
29,119,55
28,120,57
28,122,43
27,126,54
28,127,53
29,124,54
27,125,54
29,119,53
26,124,53
28,119,53
28,118,53
27,122,52
29,118,53
29,121,51
29,123,52
26,120,51
29,115,52
28,118,51
28,123,50
26,129,50
28,126,50
27,128,50
28,132,48
28,130,49
28,125,51
27,124,50
27,123,49
28,118,50
27,115,49
28,118,48
28,115,48
28,119,50
27,125,47
27,121,50
28,123,47
26,129,48
27,129,47
28,129,47
24,130,49
27,128,48
28,130,49
27,133,46
27,131,45
29,127,48
28,128,47
29,122,49
27,124,47
29,116,48
27,121,48
29,121,50
27,119,47
28,122,49
28,120,49
27,119,49
29,121,52
28,118,51
27,119,50
28,110,52
27,116,54
27,118,52
28,122,55
28,126,53
26,125,54
27,131,55
28,126,53
27,129,54
27,124,56
27,125,53
28,123,55
28,124,54
27,124,56
27,126,54
28,123,57
28,120,55
26,120,55
28,123,55
26,131,56
28,119,56
28,131,56
28,129,56
28,132,56
28,134,55
29,126,58
26,124,59
28,116,59
28,113,59
27,121,58
28,117,58
28,115,59
28,115,57
29,119,56
27,123,57
27,118,56
27,121,56
27,124,56
28,114,55
27,116,55
28,111,54
32,111,56
26,111,52
28,108,53
27,113,52
27,113,54
27,106,53
27,107,51
29,103,53
27,106,52
28,101,52
28,102,52
28,100,52
28,98,50
27,106,49
28,102,50
28,98,52
27,99,50
26,100,48
28,101,48
29,98,48
28,97,49
27,93,50
29,94,50
28,99,49
29,93,49
27,96,49
28,93,49
28,88,49
27,94,49
28,98,50
28,93,48
29,96,48
28,104,49
26,114,47
